,name,price,review_count,rating,barrio,address
213,Espiria,$$$,29,3.5,Retiro,"Montevideo 2124, S2000BSR Buenos Aires, Argentina"
214,Alaire Terrace Bar,$$,12,3.5,Palermo,"Gurruchaga 1509, 1414 Buenos Aires, Argentina"
215,Sans,$$,32,3.5,Palermo,"Serrano 1595, 1414 Buenos Aires, Argentina"
216,Artemisia Cocina Natural,$$,43,3.5,Palermo,"Costa Rica 5893, 1414 Buenos Aires, Argentina"
217,Negro,$,182,4.5,San Nicolas,"Suipacha 637, C1008AAM Buenos Aires, Argentina"
218,Tostado Café Club,$$,9,4.0,Belgrano,"Juramento 2103, C1428 Buenos Aires, Argentina"
219,Aldo’s,$$$,45,4.0,Monserrat,"Moreno 372, 1091 Buenos Aires, Argentina"
220,Florentina,$$,9,3.5,Palermo,"Soler 4501, C1425BXA Buenos Aires, Argentina"
221,Farinelli,$$,10,3.5,Palermo,"El Salvador 4761, C1414 Palmero, Argentina"
222,Le Blé,$$,19,3.5,Recoleta,"Av. Callao 1593, C1024AAB Buenos Aires, Argentina"
223,Betos,$$,3,3.5,Colegiales,"Av. El Cano 3055, Buenos Aires, Argentina"
224,Cake & Coffee Bar Boutique,$$,12,4.5,Villa Urquiza,"Dr. Pedro Ignacio Rivera 4992, C1431 Buenos Aires, Argentina"
225,Break ‘n Cake,$$,20,3.5,Belgrano,"Arribeños 2299, 1428 Buenos Aires, Argentina"
226,Piacere,$,4,4.0,Monserrat,"Lima 717, C1073 Buenos Aires, Argentina"
227,Porota,,5,3.5,Palermo,"Gorriti 5881, 1414 Buenos Aires, Argentina"
228,Croque Madame,$$,6,2.5,Palermo,"Av. Raúl Scalabrini Ortiz 3195, C1425DBM Buenos Aires, Argentina"
229,Café Martínez,$,5,4.5,Villa Devoto,"Fernández de Enciso 3985, 1419 Buenos Aires, Argentina"
230,Como En Casa,$$$,8,3.5,Recoleta,"Laprida 1782, 1425 Buenos Aires, Argentina"
231,Quimera Deli,$$,8,4.0,Palermo,"Humboldt 1981, 1414 Buenos Aires, Argentina"
232,Ramona Bakehouse,$$,6,4.5,,"Av. del Libertador 3980, B1637 La Lucila, Argentina"
233,Sofzoné,$$,3,2.5,Palermo,"serrano 1431, 1414 Buenos Aires, Argentina"
234,La Catalina,$$,6,3.5,Liniers,"Emilio Castro 7502, Buenos Aires, Argentina"
235,New Coffee,,2,3.0,Nuñez,"Av Cabildo 3102, C1429AAP Buenos Aires, Argentina"
236,Le Blé,,0,0.0,Palermo,"Av. del Libertador 3598, C1425 Buenos Aires, Argentina"
237,Möoi,,1,2.0,Recoleta,"Larrea 1541, C1117 Buenos Aires, Argentina"
238,Central Cook,$$,22,3.5,Palermo,"Federico Lacroze, Avenida 2300, Buenos Aires, Argentina"
239,Lobo Cafe,,4,3.0,Palermo,"Honduras 4730, C1414 Buenos Aires, Argentina"
240,Le Blé,$$$,11,3.5,San Telmo,"Carlos Calvo 601, C1102 Buenos Aires, Argentina"
241,Puro,$,5,3.0,San Nicolas,"Tucumán 630, C1049 Buenos Aires, Argentina"
242,La Barca,,1,3.0,Constitucion,"Dr. Enrique Finochietto 1625, 1433 Buenos Aires, Argentina"
243,La Panera Rosa,$$$,7,3.5,Palermo,"Gorostiaga 1614, C1426 Buenos Aires, Argentina"
244,Mark’s Deli and Coffee House,$$,42,3.5,Palermo,"El Salvador 4701, 1414 Buenos Aires, Argentina"
245,Le Blé,$$,23,3.5,Villa Crespo,"Acevedo 799, C1414 Buenos Aires, Argentina"
246,Tea Connection,$$,15,3.5,Recoleta,"Pres. José Evaristo Uriburu 1597, 1225 Buenos Aires, Argentina"
247,Bar du Marché,$$$,34,4.0,Palermo,"Nicaragua 6002, 1414 Buenos Aires, Argentina"
248,Coco Café,$$,1,3.0,Belgrano,"Juramento 2080, C1428DNH Buenos Aires, Argentina"
